YEAR,REGION,ISLAND,MISSION,SITE,DATE,LATITUDE,LONGITUDE,SURVEY_SIZE,NUMBER OF IMAGES,FIRST_IMAGE,LAST_IMAGE,0M_MARKER_NUMBERS,0M_DEPTH_FT,5M_MARKER_NUMBERS,5M_DEPTH_FT,10M_MARKER_NUMBERS,10M_DEPTH_FT,15M_MARKER_NUMBERS,15M_DEPTH_FT,20M_MARKER_NUMBERS,20M_DEPTH_FT,MARKER_LENGTH_M,CAMERA_MODEL,LENS_FOCAL_LENGTH,EXPOSURE_CORRECTION,COLOR_CORRECTED
2019,MHI,HAW,SE1902,HAW-3341,5/4/2019,20.075375,-155.399111,3x20m,1680,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3341_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3341_IMG_1680.JPG,"8,9",75,,,,,,,"21,22",76,0.5,Canon SL2,18mm,N,N
2019,MHI,HAW,SE1902,HAW-3350,7/15/2019,20.22848,-155.7382,3x15m,805,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3350_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3350_IMG_0805.JPG,"10,11",63,,,,,"21,22",64,,,0.25,Canon SL2,18mm,N,N
2019,MHI,HAW,SE1902,HAW-3356,5/4/2019,19.982259,-155.222333,3x20m,1470,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3356_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3356_IMG_1470.JPG,"8,9",75,,,,,,,"21,22",76,0.5,Canon SL2,18mm,N,N
2019,MHI,HAW,SE1902,HAW-3357,7/15/2019,20.185372,-155.693117,3x20m,1592,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3357_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3357_IMG_1592.JPG,"10,11",40,,,,,,,"21,22",42,0.25,Canon SL2,18mm,Y,N
2019,MHI,HAW,SE1902,HAW-3359,7/15/2019,20.165665,-155.648421,3x20m,1196,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3359_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3359_IMG_1196.JPG,"10,11",41,,,,,,,"21,22",44,0.25,Canon SL2,18mm,N,N
2019,MHI,HAW,SE1902,HAW-3362,5/4/2019,20.014558,-155.269487,3x20m,1548,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3362_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3362_IMG_1548.JPG,"8,9",55,,,,,,,"21,22",54,0.5,Canon SL2,18mm,N,N
2019,MHI,HAW,SE1902,HAW-3366,7/15/2019,20.25254,-155.8007,3x20m,1407,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3366_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3366_IMG_1407.JPG,"10,11",11,,,,,,,"21,22",10,0.25,Canon SL2,18mm,N,N
2019,MHI,HAW,SE1902,HAW-3367,5/4/2019,20.034048,-155.318917,3x20m,1673,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3367_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3367_IMG_1673.JPG,"8,9",49,,,,,,,"21,22",51,0.5,Canon SL2,18mm,N,N
2019,MHI,HAW,SE1902,HAW-3368,5/4/2019,20.059754,-155.372349,3x13m,1021,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3368_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3368_IMG_1021.JPG,"8,9",41,,,"21,22",44,,,,,0.5,Canon SL2,18mm,N,N
2019,MHI,HAW,SE1902,HAW-3399,7/12/2019,19.97742,-155.8448,3x20m,1294,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3399_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3399_IMG_1294.JPG,"10,11",83,,,,,,,"21,22",82,0.25,Canon SL2,18mm,Y,N
2019,MHI,HAW,SE1902,HAW-3401,7/19/2019,19.36521,-155.8949,3x20m,1183,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3401_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3401_IMG_1183.JPG,"10,11",69,,,,,,,"21,22",63,0.25,Canon SL2,18mm,N,N
2019,MHI,HAW,SE1902,HAW-3413,7/17/2019,19.60825,-155.9851,3x20m,1004,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3413_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3413_IMG_1004.JPG,"10,11",69,"21,22",70,,,,,,,0.25,Canon SL2,18mm,N,N
2019,MHI,HAW,SE1902,HAW-3433,5/4/2019,20.0908,-155.426,3x20m,1727,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3433_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3433_IMG_1727.JPG,"40,41",31,"33,34",35,"63,64",29,"27,28",29,,,0.5,Canon SL2,18mm,Y,N
2019,MHI,HAW,SE1902,HAW-3434,5/4/2019,20.07099,-155.389,3x13m,1183,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3434_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3434_IMG_1183.JPG,"40,41",69,"33,34",72,"27,28",68,,,,,0.5,Canon SL2,18mm,N,Y
2019,MHI,HAW,SE1902,HAW-3436,5/4/2019,20.03324,-155.307,3x13m,1250,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3436_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3436_IMG_1250.JPG,"3,4",70,"17,18",71,"57,58",72,,,,,0.5,Canon SL2,18mm,Y,N
2019,MHI,HAW,SE1902,HAW-3441,5/4/2019,20.06521,-155.382,3x20m,1819,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3441_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3441_IMG_1819.JPG,"3,4",41,"57,58",44,"17,18",40,"10,11",44,,,0.5,Canon SL2,18mm,N,N
2019,MHI,HAW,SE1902,HAW-3445,5/4/2019,20.09066,-155.436,3x20m,1529,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3445_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3445_IMG_1529.JPG,"27,28",14,"63,64",11,"40,41",14,"33,34",13,,,0.5,Canon SL2,18mm,N,N
2019,MHI,HAW,SE1902,HAW-3451,5/4/2019,20.07756,-155.404,3x20m,1412,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3451_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3451_IMG_1412.JPG,"63,64",54,"27,28",53,"40,41",51,"33,34",50,,,0.5,Canon SL2,18mm,Y,N
2019,MHI,HAW,SE1902,HAW-3465,5/4/2019,20.05417,-155.363,3x20m,2175,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3465_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3465_IMG_2175.JPG,"3,4",18,"10,11",18,"17,18",16,"57,58",15,,,0.5,Canon SL2,18mm,N,N
2019,MHI,HAW,SE1902,HAW-3717,7/19/2019,19.53849,-155.9591,3x20m,1404,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3717_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3717_IMG_1404.JPG,"10,11",36,,,,,,,"21,22",38,0.25,Canon SL2,18mm,N,N
2019,MHI,HAW,SE1902,HAW-3718,7/19/2019,19.38736,-155.9049,3x20m,1351,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3718_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3718_IMG_1351.JPG,"10,11",40,,,,,,,"21,22",44,0.25,Canon SL2,18mm,N,N
2019,MHI,HAW,SE1902,HAW-3725,7/17/2019,19.56587,-155.9694,3x20m,1249,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3725_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3725_IMG_1249.JPG,"10,11",22,"21,22",26,,,,,,,0.25,Canon SL2,18mm,N,N
2019,MHI,HAW,SE1902,HAW-3727,7/19/2019,19.40191,-155.9409,3x20m,1467,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3727_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3727_IMG_1467.JPG,"10,11",46,,,,,,,"21,22",44,0.25,Canon SL2,18mm,N,N
2019,MHI,HAW,SE1902,HAW-3732,7/12/2019,19.92419,-155.8934,3x20m,1721,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3732_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3732_IMG_1721.JPG,"10,11",38,,,,,,,"21,22",35,0.25,Canon SL2,18mm,N,N
2019,MHI,HAW,SE1902,HAW-3735,7/17/2019,19.58591,-155.9731,3x20m,1519,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3735_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3735_IMG_1519.JPG,"10,11",56,"21,22",50,,,,,,,0.25,Canon SL2,18mm,N,N
2019,MHI,HAW,SE1902,HAW-3745,7/17/2019,19.63297,-155.9964,3x20m,1570,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3745_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3745_IMG_1570.JPG,"10,11",52,"21,22",51,,,,,,,0.25,Canon SL2,18mm,N,N
2019,MHI,HAW,SE1902,HAW-3751,7/17/2019,19.67757,-156.0359,3x20m,1042,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3751_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3751_IMG_1042.JPG,"10,11",51,"21,22",48,,,,,,,0.25,Canon SL2,18mm,N,N
2019,MHI,HAW,SE1902,HAW-3753,7/12/2019,20.02573,-155.8318,3x20m,2419,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3753_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3753_IMG_2419.JPG,"10,11",27,,,,,,,"21,22",23,0.25,Canon SL2,18mm,N,N
2019,MHI,HAW,SE1902,HAW-3757,7/12/2019,19.95025,-155.8701,3x20m,1618,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3757_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3757_IMG_1618.JPG,"10,11",36,,,,,,,"21,22",34,0.25,Canon SL2,18mm,N,N
2019,MHI,HAW,SE1902,HAW-3759,7/19/2019,19.20974,-155.9002,3x20m,1417,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3759_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3759_IMG_1417.JPG,"10,11",25,,,,,,,"21,22",23,0.25,Canon SL2,18mm,N,N
2019,MHI,HAW,SE1902,HAW-3774,7/12/2019,19.89396,-155.9072,3x20m,1384,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3774_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3774_IMG_1384.JPG,"10,11",20,,,,,,,"21,22",22,0.25,Canon SL2,18mm,N,N
2019,MHI,HAW,SE1902,HAW-3796,7/13/2019,19.87078,-155.1007,3x20m,1556,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3796_IMG_0002.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3796_IMG_1557.JPG,"10,11",,,,,,,,"21,22",,0.25,Canon SL2,18mm,N,N
2019,MHI,HAW,SE1902,HAW-3798,7/13/2019,19.80359,-155.0842,3x20m,1403,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3798_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3798_IMG_1403.JPG,"10,11",79,,,,,,,"21,22",74,0.25,Canon SL2,18mm,Y,N
2019,MHI,HAW,SE1902,HAW-3804,7/14/2019,19.50603,-154.808,3x15m,763,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3804_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3804_IMG_0763.JPG,"10,11",53,,,,,"21,22",58,,,0.25,Canon SL2,18mm,Y,N
2019,MHI,HAW,SE1902,HAW-3814,7/14/2019,19.45816,-154.8347,3x20m,1331,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3814_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3814_IMG_1331.JPG,"10,11",71,,,,,,,"21,22",69,0.25,Canon SL2,18mm,Y,N
2019,MHI,HAW,SE1902,HAW-3817,7/13/2019,19.85332,-155.0814,3x20m,1579,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3817_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3817_IMG_1579.JPG,"10,11",37,,,,,,,"21,22",46,0.25,Canon SL2,18mm,Y,N
2019,MHI,HAW,SE1902,HAW-3820,7/14/2019,19.56728,-154.8943,3x20m,1422,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3820_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3820_IMG_1422.JPG,"10,11",73,,,,,,,"21,22",72,0.25,Canon SL2,18mm,Y,N
2019,MHI,HAW,SE1902,HAW-3835,7/13/2019,19.71435,-154.9887,3x20m,1023,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3835_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3835_IMG_1023.JPG,"10,11",32,,,,,,,"21,22",37,0.25,Canon SL2,18mm,N,N
2019,MHI,HAW,SE1902,HAW-3843,7/14/2019,19.53481,-154.8316,3x20m,1332,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3843_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3843_IMG_1332.JPG,"10,11",18,,,,,,,"21,22",16,0.25,Canon SL2,18mm,Y,N
2019,MHI,HAW,SE1902,HAW-3854,7/13/2019,19.64772,-154.9813,3x20m,1259,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3854_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-3854_IMG_1259.JPG,"10,11",15,,,,,,,"21,22",18,0.25,Canon SL2,18mm,N,N
2019,MHI,HAW,SE1902,HAW-4203,7/15/2019,20.246042,-155.783357,3x20m,1325,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4203_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4203_IMG_1325.JPG,"93,94",16,"8,9",14,"17,18",17,"40,41",15,,,0.25,Canon SL2,18mm,Y,N
2019,MHI,HAW,SE1902,HAW-4208,7/14/2019,19.58307,-154.919,3x20m,1232,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4208_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4208_IMG_1232.JPG,"3,4",14,"57,58",16,"27,28",16,"63,64",17,,,0.25,Canon SL2,18mm,Y,Y
2019,MHI,HAW,SE1902,HAW-4219,7/15/2019,20.196579,-155.713916,3x20m,1211,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4219_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4219_IMG_1211.JPG,"17,18",35,"8,9",36,"40,41",37,"93,94",35,,,0.25,Canon SL2,18mm,Y,N
2019,MHI,HAW,SE1902,HAW-4220,7/14/2019,20.24806,-155.782,3x13m,1004,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4220_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4220_IMG_1004.JPG,"40,41",73,"17,18",75,"93,94",73,,,,,0.25,Canon SL2,18mm,N,N
2019,MHI,HAW,SE1902,HAW-4221,7/13/2019,20.09374,-155.442,3x20m,1570,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4221_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4221_IMG_1570.JPG,"3,4",27,"57,58",26,"63,64",27,"27,28",29,,,0.25,Canon SL2,18mm,N,N
2019,MHI,HAW,SE1902,HAW-4224,7/14/2019,19.542266,-154.84331,3x20m,1426,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4224_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4224_IMG_1426.JPG,"3,4",34,"57,58",41,"27,28",38,"63,64",37,,,0.25,Canon SL2,18mm,Y,N
2019,MHI,HAW,SE1902,HAW-4227,7/14/2019,19.549169,-154.860281,3x20m,2684,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4227_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4227_IMG_2684.JPG,"17,18",45,"93,94",45,"40,41",47,,,,,0.25,Canon SL2,18mm,Y,N
2019,MHI,HAW,SE1902,HAW-4231,7/14/2019,19.93528,-155.162,3x20m,1361,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4231_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4231_IMG_1361.JPG,"57,58",32,"3,4",32,"63,64",32,"27,28",32,,,0.25,Canon SL2,18mm,Y,N
2019,MHI,HAW,SE1902,HAW-4232,7/14/2019,19.51626,-154.804172,3x13m,991,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4232_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4232_IMG_0991.JPG,"3,4",73,"63,64",73,"57,58",71,,,,,0.25,Canon SL2,18mm,N,N
2019,MHI,HAW,SE1902,HAW-4234,7/15/2019,20.201779,-155.724604,3x20m,1292,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4234_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4234_IMG_1292.JPG,"17,18",17,"40,41",18,"8,9",18,"93,94",18,,,0.25,Canon SL2,18mm,Y,N
2019,MHI,HAW,SE1902,HAW-4237,7/13/2019,19.74647,-155.089,3x20m,1099,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4237_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4237_IMG_1099.JPG,"3,4",27,"57,58",28,"27,28",27,"63,64",28,,,0.25,Canon SL2,18mm,N,N
2019,MHI,HAW,SE1902,HAW-4239,7/13/2019,19.84003,-155.083,3x13m,1517,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4239_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4239_IMG_1517.JPG,"57,58",68,"63,64",67,"27,28",67,,,,,0.25,Canon SL2,18mm,N,N
2019,MHI,HAW,SE1902,HAW-4240,7/16/2019,19.82918,-156.002,3x20m,1192,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4240_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4240_IMG_1192.JPG,"40,41",22,"93,94",20,"17,18",20,"8,9",22,,,0.25,Canon SL2,18mm,N,N
2019,MHI,HAW,SE1902,HAW-4241,7/16/2019,19.80169,-156.026,3x20m,1294,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4241_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4241_IMG_1294.JPG,"17,18",18,"8,9",16,"93,94",20,"40,41",15,,,0.25,Canon SL2,18mm,N,N
2019,MHI,HAW,SE1902,HAW-4243,7/17/2019,19.607508,-155.983174,3x20m,2061,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4243_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4243_IMG_2061.JPG,"3,4",56,"63,64",56,"57,58",53,"27,28",58,,,0.25,Canon SL2,18mm,N,N
2019,MHI,HAW,SE1902,HAW-4245,7/11/2019,19.04139,-155.882,3x20m,821,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4245_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4245_IMG_0821.JPG,"93,94",17,"17,18",17,"40,41",17,"8,9",15,,,0.25,Canon SL2,18mm,N,N
2019,MHI,HAW,SE1902,HAW-4247,7/13/2019,19.73003,-155.066,3x20m,2137,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4247_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4247_IMG_2137.JPG,"3,4",7,"57,58",9,"63,64",13,"27,28",13,,,0.25,Canon SL2,18mm,N,N
2019,MHI,HAW,SE1902,HAW-4249,7/14/2019,19.573559,-154.907607,3x20m,1287,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4249_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4249_IMG_1287.JPG,"8,9",17,"17,18",17,"93,94",15,"40,41",19,,,0.25,Canon SL2,18mm,N,N
2019,MHI,HAW,SE1902,HAW-4252,7/12/2019,19.89119,-155.91,3x13m,1247,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4252_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4252_IMG_1247.JPG,"63,64",67,"3,4",69,"27,28",67,,,,,0.25,Canon SL2,18mm,N,N
2019,MHI,HAW,SE1902,HAW-4253,7/12/2019,19.91255,-155.901,3x13m,1291,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4253_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4253_IMG_1291.JPG,"8,9",61,"17,18",62,"93,94",63,,,,,0.25,Canon SL2,18mm,N,N
2019,MHI,HAW,SE1902,HAW-4254,7/16/2019,19.850164,-155.972788,3x13m,936,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4254_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4254_IMG_0936.JPG,"17,18",73,,,"8,9",76,,,,,0.25,Canon SL2,18mm,N,Y
2019,MHI,HAW,SE1902,HAW-4257,7/12/2019,19.9208,-155.893,3x20m,1420,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4257_IMG_0001.JPG,NCRMP_SFM_StRS_2019_SE1902_MHI_HAW_HAW-4257_IMG_1420.JPG,"63,64",35,"3,4",34,"57,58",34,"27,28",32,,,0.25,Canon SL2,18mm,N,N
